105   	 0000
114   	 0001
101   	 001
110   	 0100
117   	 01010
46    	 010110
112   	 010111
98    	 011000
48    	 01100100
113   	 011001010
65    	 011001011
89    	 0110011000
80    	 0110011001
106   	 0110011010
38    	 0110011011
45    	 011001110
47    	 01100111100
52    	 01100111101
81    	 011001111100
58    	 011001111101
71    	 01100111111
44    	 0110100
107   	 0110101
103   	 011011
100   	 01110
87    	 011110000
33    	 011110001
84    	 01111001
67    	 011110100
59    	 0111101010
77    	 0111101011
73    	 01111011
102   	 011111
111   	 1000
97    	 1001
121   	 101000
120   	 101001000
79    	 1010010010
13    	 1010010011
10    	 1010010100
40    	 1010010101
122   	 10100101100
-110  	 10100101101000
-23   	 1010010110100100
61    	 10100101101001010
-4    	 10100101101001011
90    	 1010010110100110
91    	 10100101101001110
93    	 10100101101001111
126   	 101001011010100
-12   	 1010010110101010000
-105  	 10100101101010100010
-28   	 10100101101010100011
-24   	 10100101101010100100
96    	 10100101101010100101
-15   	 10100101101010100110
-76   	 10100101101010100111
-10   	 10100101101010101000
64    	 10100101101010101001
-106  	 1010010110101010101
-32   	 1010010110101010110
-111  	 10100101101010101110
34    	 10100101101010101111
37    	 1010010110101011
43    	 101001011010110
88    	 1010010110101110
42    	 101001011010111110
-93   	 101001011010111111
85    	 101001011011
49    	 1010010111
118   	 1010011
108   	 10101
116   	 1011
109   	 110000
119   	 110001
104   	 11001
99    	 110100
39    	 110101000
50    	 110101001
41    	 1101010100
57    	 11010101010
53    	 11010101011
69    	 11010101100
76    	 11010101101
78    	 1101010111
70    	 11010110000
68    	 11010110001
86    	 110101100100
55    	 110101100101
56    	 11010110011
72    	 11010110100
82    	 11010110101
83    	 1101011011
66    	 11010111000
63    	 1101011100100
75    	 1101011100101
74    	 110101110011
54    	 11010111010
36    	 110101110110
51    	 110101110111
9     	 110101111
115   	 11011
32    	 111
